student,unit_title,assessment,score,score_level,user_unit
1,Unicorn Traits and Reproduction,pre,39.56262020827156,1,1 Unicorn Traits and Reproduction
2,Unicorn Traits and Reproduction,pre,32.74577891464065,1,2 Unicorn Traits and Reproduction
3,Unicorn Traits and Reproduction,pre,57.542799936626146,2,3 Unicorn Traits and Reproduction
4,Unicorn Traits and Reproduction,pre,33.679867904068075,1,4 Unicorn Traits and Reproduction
5,Unicorn Traits and Reproduction,pre,35.08429166765328,1,5 Unicorn Traits and Reproduction
6,Unicorn Traits and Reproduction,pre,35.07532882062382,1,6 Unicorn Traits and Reproduction
7,Unicorn Traits and Reproduction,pre,27.823630217204474,1,7 Unicorn Traits and Reproduction
8,Unicorn Traits and Reproduction,pre,38.49797791815367,1,8 Unicorn Traits and Reproduction
9,Unicorn Traits and Reproduction,pre,32.475003648617616,1,9 Unicorn Traits and Reproduction
10,Unicorn Traits and Reproduction,pre,41.28563567169585,2,10 Unicorn Traits and Reproduction
11,Unicorn Traits and Reproduction,pre,41.84986520301253,2,11 Unicorn Traits and Reproduction
12,Unicorn Traits and Reproduction,pre,19.908237720322877,1,12 Unicorn Traits and Reproduction
13,Unicorn Traits and Reproduction,pre,34.02091180060449,1,13 Unicorn Traits and Reproduction
14,Unicorn Traits and Reproduction,pre,36.03088684149432,1,14 Unicorn Traits and Reproduction
15,Unicorn Traits and Reproduction,pre,30.177783454895653,1,15 Unicorn Traits and Reproduction
16,Unicorn Traits and Reproduction,pre,28.74782133467142,1,16 Unicorn Traits and Reproduction
18,Unicorn Traits and Reproduction,pre,34.742626773784174,1,18 Unicorn Traits and Reproduction
19,Unicorn Traits and Reproduction,pre,39.7760895334873,1,19 Unicorn Traits and Reproduction
20,Unicorn Traits and Reproduction,pre,21.89455006692871,1,20 Unicorn Traits and Reproduction
21,Unicorn Traits and Reproduction,pre,15.300971261173256,1,21 Unicorn Traits and Reproduction
22,Unicorn Traits and Reproduction,pre,25.68646248618063,1,22 Unicorn Traits and Reproduction
23,Unicorn Traits and Reproduction,pre,35.539529697511185,1,23 Unicorn Traits and Reproduction
24,Unicorn Traits and Reproduction,pre,19.66213084310884,1,24 Unicorn Traits and Reproduction
25,Unicorn Traits and Reproduction,pre,46.20287622029828,2,25 Unicorn Traits and Reproduction
26,Unicorn Traits and Reproduction,pre,34.63259692748691,1,26 Unicorn Traits and Reproduction
27,Unicorn Traits and Reproduction,pre,33.72402095445215,1,27 Unicorn Traits and Reproduction
28,Unicorn Traits and Reproduction,pre,29.79575123095664,1,28 Unicorn Traits and Reproduction
29,Unicorn Traits and Reproduction,pre,33.95490214338362,1,29 Unicorn Traits and Reproduction
30,Unicorn Traits and Reproduction,pre,39.30437192919709,1,30 Unicorn Traits and Reproduction
31,Unicorn Traits and Reproduction,pre,41.02595668547219,2,31 Unicorn Traits and Reproduction
32,Unicorn Traits and Reproduction,pre,30.417214637096922,1,32 Unicorn Traits and Reproduction
33,Unicorn Traits and Reproduction,pre,18.616344702964813,1,33 Unicorn Traits and Reproduction
